"dataset","seed","node_size","pct_no_match","rf_error","prox_error","error_difference","proximity_type"
"auto-mpg","420",1,9.84246697749322e-15,7.19162591140742,7.19162591140742,-2.66453525910038e-15,"rfgap"
"auto-mpg","420",5,7.16433715074438e-15,7.32547441245961,7.32547441245961,2.66453525910038e-15,"rfgap"
"auto-mpg","420",10,7.84859705571743e-15,7.42161173863704,7.42161173863705,-7.99360577730113e-15,"rfgap"
"auto-mpg","420",20,8.81834288130839e-15,7.88999765873362,7.88999765873362,-8.88178419700125e-16,"rfgap"
"auto-mpg","420",50,9.9013767706366e-15,9.00418134744553,9.00418134744554,-1.77635683940025e-15,"rfgap"
"auto-mpg","327",1,9.69745825590953e-15,7.18525714370484,7.18525714370485,-7.99360577730113e-15,"rfgap"
"auto-mpg","327",5,6.81540991443361e-15,7.21764766005225,7.21764766005225,2.66453525910038e-15,"rfgap"
"auto-mpg","327",10,7.6763991988368e-15,7.4641347592729,7.46413475927291,-7.105427357601e-15,"rfgap"
"auto-mpg","327",20,8.8138113587589e-15,7.87024363858415,7.87024363858415,-1.77635683940025e-15,"rfgap"
"auto-mpg","327",50,1.01687366010565e-14,8.91698904411706,8.91698904411707,-7.105427357601e-15,"rfgap"
"auto-mpg","303",1,1.0164205078507e-14,7.44398189360448,7.44398189360449,-3.5527136788005e-15,"rfgap"
"auto-mpg","303",5,7.2504360791847e-15,7.45746496827952,7.45746496827952,6.21724893790088e-15,"rfgap"
"auto-mpg","303",10,8.06157861554348e-15,7.56812149356036,7.56812149356036,3.5527136788005e-15,"rfgap"
"auto-mpg","303",20,8.61442436658132e-15,7.95659631530923,7.95659631530923,-5.32907051820075e-15,"rfgap"
"auto-mpg","303",50,9.50713430883093e-15,9.00253103131411,9.0025310313141,3.5527136788005e-15,"rfgap"
"auto-mpg","117",1,9.20352229801507e-15,7.29427605422093,7.29427605422093,-1.77635683940025e-15,"rfgap"
"auto-mpg","117",5,7.4860752517582e-15,7.38928495155283,7.38928495155283,-6.21724893790088e-15,"rfgap"
"auto-mpg","117",10,8.288154743018e-15,7.64329809740037,7.64329809740037,-8.88178419700125e-16,"rfgap"
"auto-mpg","117",20,9.18086468526762e-15,7.98631026857564,7.98631026857565,-5.32907051820075e-15,"rfgap"
"auto-mpg","117",50,1.02231148716504e-14,9.10363447714797,9.10363447714797,0,"rfgap"
"auto-mpg","1012",1,9.79715175199832e-15,7.31116223580254,7.31116223580254,-2.66453525910038e-15,"rfgap"
"auto-mpg","1012",5,7.66280463118832e-15,7.57975414604227,7.57975414604227,1.77635683940025e-15,"rfgap"
"auto-mpg","1012",10,8.40597432930476e-15,7.70960628374569,7.70960628374569,-8.88178419700125e-16,"rfgap"
"auto-mpg","1012",20,9.22164838821303e-15,8.00648674842024,8.00648674842025,-1.06581410364015e-14,"rfgap"
"auto-mpg","1012",50,1.04632855667734e-14,8.94917714198395,8.94917714198395,3.5527136788005e-15,"rfgap"
"auto-mpg","420",1,9.84246697749322e-15,7.19162591140742,7.19162591140742,-2.66453525910038e-15,"rfgap"
"auto-mpg","420",5,7.16433715074438e-15,7.32547441245961,7.32547441245961,2.66453525910038e-15,"rfgap"
"auto-mpg","420",10,7.84859705571743e-15,7.42161173863704,7.42161173863705,-7.99360577730113e-15,"rfgap"
"auto-mpg","420",20,8.81834288130839e-15,7.88999765873362,7.88999765873362,-8.88178419700125e-16,"rfgap"
"auto-mpg","420",50,9.9013767706366e-15,9.00418134744553,9.00418134744554,-1.77635683940025e-15,"rfgap"
"auto-mpg","327",1,9.69745825590953e-15,7.18525714370484,7.18525714370485,-7.99360577730113e-15,"rfgap"
"auto-mpg","327",5,6.81540991443361e-15,7.21764766005225,7.21764766005225,2.66453525910038e-15,"rfgap"
"auto-mpg","327",10,7.6763991988368e-15,7.4641347592729,7.46413475927291,-7.105427357601e-15,"rfgap"
"auto-mpg","327",20,8.8138113587589e-15,7.87024363858415,7.87024363858415,-1.77635683940025e-15,"rfgap"
"auto-mpg","327",50,1.01687366010565e-14,8.91698904411706,8.91698904411707,-7.105427357601e-15,"rfgap"
"auto-mpg","303",1,1.0164205078507e-14,7.44398189360448,7.44398189360449,-3.5527136788005e-15,"rfgap"
"auto-mpg","303",5,7.2504360791847e-15,7.45746496827952,7.45746496827952,6.21724893790088e-15,"rfgap"
"auto-mpg","303",10,8.06157861554348e-15,7.56812149356036,7.56812149356036,3.5527136788005e-15,"rfgap"
"auto-mpg","303",20,8.61442436658132e-15,7.95659631530923,7.95659631530923,-5.32907051820075e-15,"rfgap"
"auto-mpg","303",50,9.50713430883093e-15,9.00253103131411,9.0025310313141,3.5527136788005e-15,"rfgap"
"auto-mpg","117",1,9.20352229801507e-15,7.29427605422093,7.29427605422093,-1.77635683940025e-15,"rfgap"
"auto-mpg","117",5,7.4860752517582e-15,7.38928495155283,7.38928495155283,-6.21724893790088e-15,"rfgap"
"auto-mpg","117",10,8.288154743018e-15,7.64329809740037,7.64329809740037,-8.88178419700125e-16,"rfgap"
"auto-mpg","117",20,9.18086468526762e-15,7.98631026857564,7.98631026857565,-5.32907051820075e-15,"rfgap"
"auto-mpg","117",50,1.02231148716504e-14,9.10363447714797,9.10363447714797,0,"rfgap"
"auto-mpg","1012",1,9.79715175199832e-15,7.31116223580254,7.31116223580254,-2.66453525910038e-15,"rfgap"
"auto-mpg","1012",5,7.66280463118832e-15,7.57975414604227,7.57975414604227,1.77635683940025e-15,"rfgap"
"auto-mpg","1012",10,8.40597432930476e-15,7.70960628374569,7.70960628374569,-8.88178419700125e-16,"rfgap"
"auto-mpg","1012",20,9.22164838821303e-15,8.00648674842024,8.00648674842025,-1.06581410364015e-14,"rfgap"
"auto-mpg","1012",50,1.04632855667734e-14,8.94917714198395,8.94917714198395,3.5527136788005e-15,"rfgap"
"auto-mpg","420",1,0.909690338622073,7.19162591140742,1.98939978715823,5.20222612424919,"original"
"auto-mpg","420",5,0.733689512935737,7.32547441245961,2.9272554410231,4.39821897143652,"original"
"auto-mpg","420",10,0.552376342863317,7.42161173863704,4.0526503274574,3.36896141117964,"original"
"auto-mpg","420",20,0.406963377114505,7.88999765873362,5.47363217466694,2.41636548406668,"original"
"auto-mpg","420",50,0.306840375094645,9.00418134744553,7.33021314579344,1.67396820165209,"original"
"auto-mpg","327",1,0.907195879501676,7.18525714370484,2.00047049535762,5.18478664834722,"original"
"auto-mpg","327",5,0.740341491487394,7.21764766005225,2.89810587318447,4.31954178686779,"original"
"auto-mpg","327",10,0.56563912405487,7.4641347592729,4.03416459419258,3.42997016508032,"original"
"auto-mpg","327",20,0.409202126416091,7.87024363858415,5.45549413658293,2.41474950200122,"original"
"auto-mpg","327",50,0.304111485313454,8.91698904411706,7.25179253205208,1.66519651206498,"original"
"auto-mpg","303",1,0.915520678610898,7.44398189360448,2.06110948720499,5.38287240639949,"original"
"auto-mpg","303",5,0.747647766638662,7.45746496827952,2.94579110679566,4.51167386148386,"original"
"auto-mpg","303",10,0.572146389304001,7.56812149356036,4.04939513625328,3.51872635730709,"original"
"auto-mpg","303",20,0.426733532987058,7.95659631530923,5.46202594822699,2.49457036708224,"original"
"auto-mpg","303",50,0.310176397420471,9.00253103131411,7.2596362167081,1.74289481460601,"original"
