Proximity,Seed,Sample_Size,Train_Error,Test_Error,RF_OOB,RF_Test
RF-GAP,420,100,0,0,0.271428571428571,0.133333333333333
OOB,420,100,0.157142857142857,0.133333333333333,0.271428571428571,0.133333333333333
Original,420,100,0.228571428571429,0.1,0.271428571428571,0.133333333333333
RF-GAP,327,100,0,0,0.385714285714286,0.166666666666667
OOB,327,100,0.157142857142857,0.133333333333333,0.385714285714286,0.166666666666667
Original,327,100,0.357142857142857,0.166666666666667,0.385714285714286,0.166666666666667
RF-GAP,303,100,0,0,0.1,0.3
OOB,303,100,0.128571428571429,0.133333333333333,0.1,0.3
Original,303,100,0.1,0.133333333333333,0.1,0.3
RF-GAP,117,100,0,0,0.271428571428571,0.2
OOB,117,100,0.0571428571428572,0.0333333333333333,0.271428571428571,0.2
Original,117,100,0.242857142857143,0.0333333333333333,0.271428571428571,0.2
RF-GAP,1012,100,0,0,0.414285714285714,0.133333333333333
OOB,1012,100,0.185714285714286,0.0333333333333333,0.414285714285714,0.133333333333333
Original,1012,100,0.4,0.0333333333333333,0.414285714285714,0.133333333333333
RF-GAP,840,100,0.0142857142857142,0,0.171428571428571,0.166666666666667
OOB,840,100,0.0428571428571428,0.1,0.171428571428571,0.166666666666667
Original,840,100,0.128571428571429,0.0333333333333333,0.171428571428571,0.166666666666667
RF-GAP,654,100,0,0,0.328571428571429,0.233333333333333
OOB,654,100,0.157142857142857,0.133333333333333,0.328571428571429,0.233333333333333
Original,654,100,0.285714285714286,0.0666666666666667,0.328571428571429,0.233333333333333
RF-GAP,606,100,0,0,0.357142857142857,0.266666666666667
OOB,606,100,0.142857142857143,0.0666666666666667,0.357142857142857,0.266666666666667
Original,606,100,0.357142857142857,0,0.357142857142857,0.266666666666667
RF-GAP,234,100,0,0,0.157142857142857,0.1
OOB,234,100,0.114285714285714,0.0333333333333333,0.157142857142857,0.1
Original,234,100,0.157142857142857,0,0.157142857142857,0.1
RF-GAP,2024,100,0,0,0.171428571428571,0.366666666666667
OOB,2024,100,0.0428571428571428,0.1,0.171428571428571,0.366666666666667
Original,2024,100,0.157142857142857,0.0333333333333333,0.171428571428571,0.366666666666667
RF-GAP,1260,100,0,0,0.257142857142857,0.233333333333333
OOB,1260,100,0.0714285714285714,0.1,0.257142857142857,0.233333333333333
Original,1260,100,0.242857142857143,0.1,0.257142857142857,0.233333333333333
RF-GAP,981,100,0,0,0.185714285714286,0.333333333333333
OOB,981,100,0.0714285714285714,0.0333333333333333,0.185714285714286,0.333333333333333
Original,981,100,0.171428571428571,0,0.185714285714286,0.333333333333333
RF-GAP,909,100,0,0,0.285714285714286,0.333333333333333
OOB,909,100,0.128571428571429,0.0666666666666667,0.285714285714286,0.333333333333333
Original,909,100,0.271428571428571,0.0333333333333333,0.285714285714286,0.333333333333333
RF-GAP,351,100,0,0,0.342857142857143,0.333333333333333
OOB,351,100,0.157142857142857,0.166666666666667,0.342857142857143,0.333333333333333
Original,351,100,0.328571428571429,0.0666666666666667,0.342857142857143,0.333333333333333
RF-GAP,3036,100,0,0,0.185714285714286,0.2
OOB,3036,100,0.1,0.0333333333333333,0.185714285714286,0.2
Original,3036,100,0.185714285714286,0.0333333333333333,0.185714285714286,0.2
RF-GAP,1680,100,0,0,0.185714285714286,0.233333333333333
OOB,1680,100,0.0428571428571428,0.1,0.185714285714286,0.233333333333333
Original,1680,100,0.185714285714286,0.0333333333333333,0.185714285714286,0.233333333333333
RF-GAP,1308,100,0,0,0.185714285714286,0.266666666666667
OOB,1308,100,0.0571428571428572,0.133333333333333,0.185714285714286,0.266666666666667
Original,1308,100,0.142857142857143,0.0666666666666667,0.185714285714286,0.266666666666667
RF-GAP,1212,100,0,0,0.228571428571429,0.133333333333333
OOB,1212,100,0.0857142857142858,0.1,0.228571428571429,0.133333333333333
Original,1212,100,0.214285714285714,0.0666666666666667,0.228571428571429,0.133333333333333
RF-GAP,468,100,0,0,0.171428571428571,0.233333333333333
OOB,468,100,0.0571428571428572,0.1,0.171428571428571,0.233333333333333
Original,468,100,0.142857142857143,0.0666666666666667,0.171428571428571,0.233333333333333
RF-GAP,4048,100,0,0,0.228571428571429,0.233333333333333
OOB,4048,100,0.0714285714285714,0.133333333333333,0.228571428571429,0.233333333333333
Original,4048,100,0.214285714285714,0.0666666666666667,0.228571428571429,0.233333333333333
RF-GAP,420,200,0,0,0.221428571428571,0.15
OOB,420,200,0.0357142857142857,0.0166666666666667,0.221428571428571,0.15
Original,420,200,0.2,0.0166666666666667,0.221428571428571,0.15
RF-GAP,327,200,0,0,0.214285714285714,0.15
OOB,327,200,0.05,0,0.214285714285714,0.15
Original,327,200,0.178571428571429,0,0.214285714285714,0.15
RF-GAP,303,200,0,0,0.285714285714286,0.266666666666667
OOB,303,200,0.1,0.0166666666666667,0.285714285714286,0.266666666666667
Original,303,200,0.242857142857143,0.0166666666666667,0.285714285714286,0.266666666666667
RF-GAP,117,200,0.00714285714285712,0,0.228571428571429,0.1
OOB,117,200,0.0642857142857143,0.0166666666666667,0.228571428571429,0.1
Original,117,200,0.2,0.0166666666666667,0.228571428571429,0.1
RF-GAP,1012,200,0,0,0.185714285714286,0.25
OOB,1012,200,0.0642857142857143,0.0333333333333333,0.185714285714286,0.25
Original,1012,200,0.15,0.05,0.185714285714286,0.25
RF-GAP,840,200,0,0,0.185714285714286,0.216666666666667
OOB,840,200,0.0357142857142857,0.05,0.185714285714286,0.216666666666667
Original,840,200,0.15,0.0166666666666667,0.185714285714286,0.216666666666667
RF-GAP,654,200,0.00714285714285712,0,0.214285714285714,0.233333333333333
OOB,654,200,0.05,0.0666666666666667,0.214285714285714,0.233333333333333
Original,654,200,0.185714285714286,0.0666666666666667,0.214285714285714,0.233333333333333
RF-GAP,606,200,0,0,0.235714285714286,0.216666666666667
OOB,606,200,0.0857142857142858,0.05,0.235714285714286,0.216666666666667
Original,606,200,0.178571428571429,0.0333333333333333,0.235714285714286,0.216666666666667
RF-GAP,234,200,0,0,0.207142857142857,0.283333333333333
OOB,234,200,0.0642857142857143,0.0666666666666667,0.207142857142857,0.283333333333333
Original,234,200,0.178571428571429,0.0166666666666667,0.207142857142857,0.283333333333333
RF-GAP,2024,200,0,0,0.2,0.166666666666667
OOB,2024,200,0.0642857142857143,0.05,0.2,0.166666666666667
Original,2024,200,0.171428571428571,0.0333333333333333,0.2,0.166666666666667
RF-GAP,1260,200,0,0,0.171428571428571,0.283333333333333
OOB,1260,200,0.0285714285714286,0.0833333333333334,0.171428571428571,0.283333333333333
Original,1260,200,0.121428571428571,0.0833333333333334,0.171428571428571,0.283333333333333
RF-GAP,981,200,0,0,0.178571428571429,0.3
OOB,981,200,0.0428571428571428,0.0666666666666667,0.178571428571429,0.3
Original,981,200,0.135714285714286,0.05,0.178571428571429,0.3
RF-GAP,909,200,0,0,0.271428571428571,0.116666666666667
OOB,909,200,0.114285714285714,0.0833333333333334,0.271428571428571,0.116666666666667
Original,909,200,0.2,0.05,0.271428571428571,0.116666666666667
RF-GAP,351,200,0,0,0.207142857142857,0.183333333333333
OOB,351,200,0.0571428571428572,0.05,0.207142857142857,0.183333333333333
Original,351,200,0.171428571428571,0.05,0.207142857142857,0.183333333333333
RF-GAP,3036,200,0,0,0.178571428571429,0.216666666666667
OOB,3036,200,0.0285714285714286,0.0166666666666667,0.178571428571429,0.216666666666667
Original,3036,200,0.15,0,0.178571428571429,0.216666666666667
RF-GAP,1680,200,0,0,0.192857142857143,0.3
OOB,1680,200,0.0642857142857143,0.05,0.192857142857143,0.3
Original,1680,200,0.157142857142857,0.0333333333333333,0.192857142857143,0.3
RF-GAP,1308,200,0,0,0.192857142857143,0.233333333333333
OOB,1308,200,0.0428571428571428,0.05,0.192857142857143,0.233333333333333
Original,1308,200,0.135714285714286,0.0333333333333333,0.192857142857143,0.233333333333333
RF-GAP,1212,200,0,0,0.157142857142857,0.2
OOB,1212,200,0.0285714285714286,0.0333333333333333,0.157142857142857,0.2
Original,1212,200,0.142857142857143,0.0333333333333333,0.157142857142857,0.2
RF-GAP,468,200,0,0,0.228571428571429,0.3
OOB,468,200,0.05,0,0.228571428571429,0.3
Original,468,200,0.2,0,0.228571428571429,0.3
RF-GAP,4048,200,0,0,0.221428571428571,0.216666666666667
OOB,4048,200,0.0857142857142858,0.0666666666666667,0.221428571428571,0.216666666666667
Original,4048,200,0.178571428571429,0.0333333333333333,0.221428571428571,0.216666666666667
RF-GAP,420,500,0,0,0.22,0.146666666666667
OOB,420,500,0.0714285714285714,0.02,0.22,0.146666666666667
Original,420,500,0.145714285714286,0.02,0.22,0.146666666666667
RF-GAP,327,500,0,0,0.185714285714286,0.233333333333333
OOB,327,500,0.0457142857142857,0.04,0.185714285714286,0.233333333333333
Original,327,500,0.125714285714286,0.0266666666666666,0.185714285714286,0.233333333333333
RF-GAP,303,500,0,0,0.248571428571429,0.18
OOB,303,500,0.0485714285714286,0.0733333333333334,0.248571428571429,0.18
Original,303,500,0.174285714285714,0.0333333333333333,0.248571428571429,0.18
RF-GAP,117,500,0,0,0.182857142857143,0.193333333333333
OOB,117,500,0.0514285714285714,0.02,0.182857142857143,0.193333333333333
Original,117,500,0.14,0.0133333333333333,0.182857142857143,0.193333333333333
RF-GAP,1012,500,0,0,0.234285714285714,0.186666666666667
